Country/Region,GDP
Afghanistan,1955.006208
Albania,13364.1554
Algeria,15481.78762
Andorra,160.845444
Angola,6452.355165
Antigua and Barbuda,26868.13352
Argentina,20610.56855
Armenia,10343.17559
Australia,51663.36509
Austria,55454.68929
Azerbaijan,18044.13678
Bahamas,626.6860487
Bahrain,47303.04851
Bangladesh,4371.754986
Barbados,18554.12928
Belarus,19994.80408
Belgium,51407.99834
Belize,8648.0888
Benin,2424.755845
Bhutan,10534.8557
Bolivia,7873.166243
Bosnia and Herzegovina,14623.67405
Botswana,18615.79334
Brazil,16096.40096
Brunei,80920.04868
Bulgaria,21960.36994
Burkina Faso,1984.884306
Burma,17639.8309
Burundi,744.182072
Cabo Verde,7454.063917
Cambodia,4360.854404
Cameroon,3785.079978
Canada,48130.25597
Central African Republic,859.9356196
Chad,1968.258262
Chile,25222.52778
China,18236.61298
Colombia,15012.93027
Congo (Brazzaville),1615.709131
Congo (Kinshasa),3850.253344
Costa Rica,17671.09535
Cote d'Ivoire,4207.086934
Croatia,27579.78083
Cuba,12664.15634
Cyprus,1787.337232
Czechia,39743.59709
Denmark,55671.16527
Djibouti,197.4667267
Dominica,11129.86119
Dominican Republic,17748.18532
Ecuador,11734.38739
Egypt,12412.3094
El Salvador,8331.804142
Equatorial Guinea,22743.82443
Eritrea,527.9526853
Estonia,35973.77646
Eswatini,10637.84173
Ethiopia,2022.137961
Fiji,10879.47846
Finland,48416.93603
France,45342.39574
Gabon,17875.76115
Gambia,177.9883782
Georgia,12004.57383
Germany,53074.54012
Ghana,4746.684995
Greece,29592.15242
Grenada,15557.54504
Guatemala,8462.374008
Guinea,2504.869745
Guinea-Bissau,1799.067891
Guyana,8640.73737
Haiti,1866.617589
Holy See,0
Honduras,5138.752457
Hong Kong,64596.56385
Hungary,31102.50275
Iceland,57303.06078
India,7762.88177
Indonesia,13079.6193
Iran,73093.49648
Iraq,17435.85393
Ireland,83203.39468
Israel,39919.16965
Italy,41830.42633
Jamaica,9326.664059
Japan,42797.45852
Jordan,9478.904588
Kazakhstan,27879.75195
Kenya,3467.556478
Kosovo,11348.36345
Kuwait,72897.56235
Kyrgyzstan,1287.707656
Laos,2898.348441
Latvia,30304.8525
Lebanon,13081.10746
Lesotho,3219.457157
Liberia,1308.629536
Libya,20764.16414
Liechtenstein,263.3552219
Lithuania,35461.3591
Luxembourg,113337.4205
Macau,3843.992446
Madagascar,1891.320668
Malaysia,31782.15336
Maldives,15307.72194
Mali,2316.6552
Malta,42581.09786
Mauritania,4150.965246
Mauritius,23750.98804
Mexico,19844.64567
Monaco,381.2191061
Mongolia,13799.90485
Montenegro,20689.98675
Morocco,8586.6387
Mozambique,1459.698413
Namibia,11101.82628
Nepal,3089.556352
Netherlands,56328.94114
New Zealand,41005.42087
Nicaragua,5533.551064
Niger,1063.421841
Nigeria,5990.850432
North Macedonia,16358.66205
Norway,65510.58527
Oman,41859.93448
Pakistan,5567.055608
Palestine,593.7914908
Panama,25553.69671
Papua New Guinea,4336.244657
Paraguay,13599.92656
Peru,14418.07067
Philippines,8951.085654
Poland,31336.6035
Portugal,33415.4379
Qatar,126898.4259
"Korea, South",40111.77576
Moldova,7271.641919
Romania,28206.35705
Russia,27147.33358
Rwanda,2251.556388
Saint Kitts and Nevis,87.35443019
Saint Lucia,133.6155078
Saint Vincent and the Grenadines,68.22390936
San Marino,103.8513988
Saudi Arabia,55335.67959
Senegal,3782.538613
Serbia,17434.91613
Seychelles,30557.07572
Sierra Leone,1601.974029
Singapore,101531.6302
Slovakia,10394.38216
Slovenia,38048.78466
Somalia,1098.141585
South Africa,13686.88236
Spain,39715.43906
Sri Lanka,13473.66309
Sudan,4759.281882
Suriname,15510.46464
Sweden,53208.88436
Switzerland,68060.94105
Syria,2498.396331
Taiwan*,64596.56385
Tanzania,3227.034211
Thailand,19051.33338
Timor-Leste,7658.434996
Togo,1773.896632
Trinidad and Tobago,32014.78313
Tunisia,12502.82019
Turkey,28068.85941
Uganda,2038.073892
Ukraine,9233.150469
United Arab Emirates,75075.25741
United Kingdom,45973.5735
US,62794.58565
Uruguay,23572.17746
Uzbekistan,8556.051512
Venezuela,3485.233068
Vietnam,7447.814334
West Bank and Gaza,5157.568578
Yemen,2575.126385
Zambia,4223.906936
Zimbabwe,3029.793005
Malawi,1234
South Sudan,1420
Western Sahara,2500
Sao Tome and Principe,3220
Faroe Islands,61325
Greenland,37000
French Guiana,18300
French Polynesia,14323.82
Guadeloupe,25479
Martinique,27688
Mayotte,12820
New Caledonia,38921
Reunion,25900
Saint Barthelemy,27737
Saint Pierre and Miquelon,28419.57
Saint Martin,16642.58724
Aruba,20778.10024
"Bonaire, Sint Eustatius and Saba",568.430258
Curacao,47165
Sint Maarten,40160
Anguilla,29493.3
Bermuda,102192
British Virgin Islands,34200
Cayman Islands,73800
Channel Islands,74463
Falkland Islands (Malvinas),96962
Gibraltar,63676.25
Isle of Man,84600
Montserrat,12384
Turks and Caicos Islands,27142.23
