Country/Region,LifeExpectancy
Afghanistan,65.97
Albania,78.96
Algeria,77.5
Andorra,85.4
Angola,62.22
Anguilla,81.79
Antigua and Barbuda,77.47
Argentina,77.17
Armenia,75.55
Aruba,76.78
Australia,83.94
Austria,82.05
Azerbaijan,73.33
Bahamas,74.28
Bahrain,77.73
Bangladesh,73.57
Barbados,79.64
Belarus,75.2
Belgium,82.17
Belize,75.09
Benin,62.84
Bermuda,81.65
Bhutan,72.77
Bolivia,72.35
"Bonaire, Sint Eustatius and Saba",80.2
Bosnia and Herzegovina,77.93
Botswana,69.86
Brazil,76.57
British Virgin Islands,79.24
Brunei,76.34
Bulgaria,75.49
Burkina Faso,62.98
Burma,67.17
Burundi,62.71
Cabo Verde,73.58
Cambodia,70.54
Cameroon,60.32
Canada,82.96
Cayman Islands,81.63
Cayman Islands,81.63
Central African Republic,54.36
Chad,55.17
Channel Islands,83.6
Chile,80.74
China,77.47
Colombia,77.87
Congo (Brazzaville),65.21
Congo (Kinshasa),61.6
Costa Rica,80.94
Cote d'Ivoire,58.75
Croatia,79.02
Cuba,79.18
Curacao,78.02
Cyprus,81.51
Czechia,79.85
Denmark,81.4
Djibouti,67.87
Dominica,77.72
Dominican Republic,74.65
Ecuador,77.71
Egypt,72.54
El Salvador,74.06
Equatorial Guinea,59.82
Eritrea,67.48
Estonia,79.18
Eswatini,61.05
Ethiopia,67.81
Falkland Islands (Malvinas),77.9
Faroe Islands,80.83
Fiji,67.91
Finland,82.48
France,83.13
French Guiana,80.53
French Polynesia,78.23
Gabon,67.03
Gambia,63.26
Georgia,74.24
Germany,81.88
Ghana,64.94
Gibraltar,79.97
Greece,82.8
Greenland,73.41
Grenada,72.59
Guadeloupe,82.74
Guatemala,75.05
Guinea,62.64
Guinea-Bissau,59.38
Guyana,70.26
Haiti,64.99
Holy See,78.5501
Honduras,75.87
Hong Kong,85.29
Hungary,77.31
Iceland,83.52
India,70.42
Indonesia,72.32
Iran,77.33
Iraq,71.08
Ireland,82.81
Isle of Man,81.59
Israel,83.49
Italy,84
Jamaica,74.88
Japan,85.03
Jordan,75.01
Kazakhstan,73.89
Kenya,67.47
"Korea, South",83.5
Kosovo,81.6
Kuwait,75.85
Kyrgyzstan,71.95
Laos,68.89
Latvia,75.73
Lebanon,79.27
Lesotho,55.65
Liberia,65
Libya,73.44
Liechtenstein,82.17
Lithuania,76.41
Luxembourg,82.78
Macau,84.68
Madagascar,68.21
Malawi,65.62
Malaysia,76.65
Maldives,79.89
Mali,60.54
Malta,83.06
Martinique,83.13
Mauritania,65.57
Mauritius,75.51
Mayotte,79.85
Mexico,75.41
Moldova,72.3
Monaco,89.27
Mongolia,70.53
Montenegro,77.39
Montserrat,75.28
Morocco,77.43
Mozambique,62.13
Namibia,64.86
Nepal,71.74
Netherlands,82.78
New Caledonia,78.16
New Zealand,82.8
Nicaragua,75.23
Niger,63.62
Nigeria,55.75
North Macedonia,76.26
Norway,82.94
Oman,78.58
Pakistan,67.79
Panama,79.1
Papua New Guinea,65.22
Paraguay,74.59
Peru,77.44
Philippines,71.66
Poland,79.27
Portugal,82.65
Qatar,80.73
Reunion,76.4
Romania,76.5
Russia,72.98
Rwanda,70
Saint Barthelemy,83.4
Saint Kitts and Nevis,76.57
Saint Lucia,76.67
Saint Martin,80.16
Saint Pierre and Miquelon,80.96
Saint Vincent and the Grenadines,72.98
San Marino,83.49
Sao Tome and Principe,71.01
Saudi Arabia,75.69
Senegal,68.87
Serbia,76.47
Seychelles,73.74
Sierra Leone,55.92
Singapore,84.07
Sint Maarten,78.8
Slovakia,78
Slovenia,81.85
Somalia,58.34
South Africa,64.88
South Sudan,58.74
Spain,83.99
Sri Lanka,77.56
Sudan,66.09
Suriname,72.13
Sweden,83.33
Switzerland,84.25
Syria,76.06
Taiwan*,79.7
Tanzania,66.39
Thailand,77.74
Timor-Leste,70.18
Togo,62.13
Trinidad and Tobago,73.91
Tunisia,77.36
Turkey,78.45
Turks and Caicos Islands,80.34
Uganda,64.38
Ukraine,72.5
United Arab Emirates,78.46
United Kingdom,81.77
Uruguay,78.43
US,79.11
Uzbekistan,72.04
Venezuela,72.34
Vietnam,75.77
West Bank and Gaza,74.62
Western Sahara,71.08
Yemen,66.44
Zambia,64.7
Zimbabwe,62.16
