Country/Region,testing,date
Albania,3385,10/04/2020
Argentina,14850,09/04/2020
Armenia,6081,10/04/2020
Australia,68205,29/03/2020
Australia,49739,02/04/2020
Australia,16278,03/04/2020
Australia,25481,06/04/2020
Australia,8038,07/04/2020
Australia,8571,08/04/2020
Australia,10766,09/04/2020
Australia,8212,10/04/2020
Australia,338449,10/04/2020
Austria,103,26/02/2020
Austria,126,27/02/2020
Austria,316,28/02/2020
Austria,886,29/02/2020
Austria,2683,03/03/2020
Austria,455,04/03/2020
Austria,573,05/03/2020
Austria,289,06/03/2020
Austria,308,07/03/2020
Austria,201,08/03/2020
Austria,225,09/03/2020
Austria,292,10/03/2020
Austria,336,11/03/2020
Austria,507,12/03/2020
Austria,713,13/03/2020
Austria,885,14/03/2020
Austria,700,15/03/2020
Austria,323,16/03/2020
Austria,1788,17/03/2020
Austria,1699,18/03/2020
Austria,1747,19/03/2020
Austria,1889,20/03/2020
Austria,2932,21/03/2020
Austria,2823,22/03/2020
Austria,2061,23/03/2020
Austria,4962,24/03/2020
Austria,4016,25/03/2020
Austria,3588,26/03/2020
Austria,3557,27/03/2020
Austria,3198,28/03/2020
Austria,3691,29/03/2020
Austria,3014,30/03/2020
Austria,2889,31/03/2020
Austria,3519,01/04/2020
Austria,36327,02/04/2020
Austria,6153,03/04/2020
Austria,5791,04/04/2020
Austria,4282,05/04/2020
Austria,2880,06/04/2020
Austria,3939,07/04/2020
Austria,5520,08/04/2020
Austria,5532,09/04/2020
Austria,8456,10/04/2020
Austria,134743,10/04/2020
Azerbaijan,57371,01/04/2020
Bahrain,1086,07/03/2020
Bahrain,1410,09/03/2020
Bahrain,524,10/03/2020
Bahrain,456,11/03/2020
Bahrain,232,12/03/2020
Bahrain,3089,16/03/2020
Bahrain,1422,17/03/2020
Bahrain,5545,20/03/2020
Bahrain,6071,23/03/2020
Bahrain,4364,26/03/2020
Bahrain,2362,29/03/2020
Bahrain,701,30/03/2020
Bahrain,5400,03/04/2020
Bahrain,1260,04/04/2020
Bahrain,5130,05/04/2020
Bahrain,3298,06/04/2020
Bahrain,2443,07/04/2020
Bahrain,2677,08/04/2020
Bahrain,2292,09/04/2020
Bahrain,2211,10/04/2020
Bahrain,57681,10/04/2020
Bangladesh,7359,10/04/2020
Barbados,382,01/04/2020
Belarus,49000,10/04/2020
Belgium,281,02/03/2020
Belgium,476,03/03/2020
Belgium,632,04/03/2020
Belgium,701,05/03/2020
Belgium,1014,06/03/2020
Belgium,407,07/03/2020
Belgium,411,08/03/2020
Belgium,550,09/03/2020
Belgium,742,10/03/2020
Belgium,1015,11/03/2020
Belgium,1409,12/03/2020
Belgium,2399,13/03/2020
Belgium,2003,14/03/2020
Belgium,1149,15/03/2020
Belgium,1652,16/03/2020
Belgium,1918,17/03/2020
Belgium,2399,18/03/2020
Belgium,2928,19/03/2020
Belgium,2584,20/03/2020
Belgium,1974,21/03/2020
Belgium,1171,22/03/2020
Belgium,2645,23/03/2020
Belgium,3295,24/03/2020
Belgium,3626,25/03/2020
Belgium,3577,26/03/2020
Belgium,4235,27/03/2020
Belgium,3320,28/03/2020
Belgium,2047,29/03/2020
Belgium,3329,30/03/2020
Belgium,5441,31/03/2020
Belgium,4849,01/04/2020
Belgium,4851,02/04/2020
Belgium,5182,03/04/2020
Belgium,4265,04/04/2020
Belgium,2553,05/04/2020
Belgium,4287,06/04/2020
Belgium,5621,07/04/2020
Belgium,5518,08/04/2020
Belgium,124,09/04/2020
Belgium,96636,10/04/2020
Bolivia,591,19/03/2020
Bosnia and Herzegovina,9189,10/04/2020
Brazil,54824,02/04/2020
Bulgaria,15899,05/04/2020
Canada,981,19/03/2020
Canada,21858,20/03/2020
Canada,12069,21/03/2020
Canada,9941,22/03/2020
Canada,8323,23/03/2020
Canada,17915,24/03/2020
Canada,17092,25/03/2020
Canada,19449,26/03/2020
Canada,9041,27/03/2020
Canada,13557,28/03/2020
Canada,26234,29/03/2020
Canada,30703,30/03/2020
Canada,15795,01/04/2020
Canada,11221,02/04/2020
Canada,26911,03/04/2020
Canada,16906,04/04/2020
Canada,22878,05/04/2020
Canada,1957,06/04/2020
Canada,9701,07/04/2020
Canada,12762,08/04/2020
Canada,14312,09/04/2020
Canada,384185,09/04/2020
Canada,1721,10/04/2020
Chile,54864,06/04/2020
Colombia,37593,10/04/2020
Costa Rica,89,12/03/2020
Costa Rica,86,13/03/2020
Costa Rica,127,14/03/2020
Costa Rica,43,15/03/2020
Costa Rica,171,16/03/2020
Costa Rica,114,17/03/2020
Costa Rica,154,18/03/2020
Costa Rica,116,19/03/2020
Costa Rica,119,20/03/2020
Costa Rica,148,21/03/2020
Costa Rica,227,22/03/2020
Costa Rica,157,23/03/2020
Costa Rica,165,24/03/2020
Costa Rica,29,25/03/2020
Costa Rica,677,26/03/2020
Costa Rica,487,27/03/2020
Costa Rica,158,28/03/2020
Costa Rica,222,29/03/2020
Costa Rica,263,30/03/2020
Costa Rica,153,31/03/2020
Costa Rica,3845,31/03/2020
Costa Rica,373,01/04/2020
Costa Rica,132,02/04/2020
Costa Rica,110,03/04/2020
Costa Rica,194,04/04/2020
Costa Rica,444,05/04/2020
Costa Rica,265,06/04/2020
Costa Rica,162,07/04/2020
Costa Rica,510,08/04/2020
Costa Rica,263,09/04/2020
Croatia,12322,07/04/2020
Czechia,8,28/01/2020
Czechia,5,29/01/2020
Czechia,1,30/01/2020
Czechia,3,31/01/2020
Czechia,1,01/02/2020
Czechia,5,02/02/2020
Czechia,5,03/02/2020
Czechia,5,04/02/2020
Czechia,0,05/02/2020
Czechia,3,06/02/2020
Czechia,6,07/02/2020
Czechia,0,08/02/2020
Czechia,2,09/02/2020
Czechia,8,10/02/2020
Czechia,2,11/02/2020
Czechia,1,12/02/2020
Czechia,1,13/02/2020
Czechia,0,14/02/2020
Czechia,1,15/02/2020
Czechia,1,16/02/2020
Czechia,2,17/02/2020
Czechia,0,18/02/2020
Czechia,2,19/02/2020
Czechia,0,20/02/2020
Czechia,0,21/02/2020
Czechia,1,22/02/2020
Czechia,3,23/02/2020
Czechia,12,24/02/2020
Czechia,14,25/02/2020
Czechia,23,26/02/2020
Czechia,35,27/02/2020
Czechia,23,28/02/2020
Czechia,7,29/02/2020
Czechia,11,01/03/2020
Czechia,51,02/03/2020
Czechia,78,03/03/2020
Czechia,67,04/03/2020
Czechia,76,05/03/2020
Czechia,111,06/03/2020
Czechia,193,07/03/2020
Czechia,141,08/03/2020
Czechia,265,09/03/2020
Czechia,165,10/03/2020
Czechia,458,11/03/2020
Czechia,537,12/03/2020
Czechia,741,13/03/2020
Czechia,971,14/03/2020
Czechia,1003,15/03/2020
Czechia,1234,16/03/2020
Czechia,1362,17/03/2020
Czechia,1738,18/03/2020
Czechia,2217,19/03/2020
Czechia,2085,20/03/2020
Czechia,1880,21/03/2020
Czechia,1793,22/03/2020
Czechia,2247,23/03/2020
Czechia,2976,24/03/2020
Czechia,4098,25/03/2020
Czechia,4429,26/03/2020
Czechia,5247,27/03/2020
Czechia,4326,28/03/2020
Czechia,2798,29/03/2020
Czechia,5313,30/03/2020
Czechia,6206,31/03/2020
Czechia,5973,01/04/2020
Czechia,6291,02/04/2020
Czechia,6889,03/04/2020
Czechia,6134,04/04/2020
Czechia,4710,05/04/2020
Czechia,6233,06/04/2020
Czechia,7434,07/04/2020
Czechia,8164,08/04/2020
Czechia,8009,09/04/2020
Denmark,927,21/03/2020
Denmark,1281,23/03/2020
Denmark,1050,24/03/2020
Denmark,971,25/03/2020
Denmark,2316,27/03/2020
Denmark,2923,29/03/2020
Denmark,1442,30/03/2020
Denmark,2535,31/03/2020
Denmark,2934,01/04/2020
Denmark,2812,02/04/2020
Denmark,4467,03/04/2020
Denmark,5540,04/04/2020
Denmark,3806,05/04/2020
Denmark,3182,06/04/2020
Denmark,5750,07/04/2020
Denmark,4869,08/04/2020
Denmark,4675,09/04/2020
Denmark,2521,10/04/2020
Denmark,70983,10/04/2020
Ecuador,391,19/03/2020
Ecuador,517,20/03/2020
Ecuador,381,21/03/2020
Ecuador,309,22/03/2020
Ecuador,420,23/03/2020
Ecuador,838,24/03/2020
Ecuador,672,25/03/2020
